relation,type=normal|dir=forward,precedes,'.*'
relation,type=normal|dir=backward,is preceded by,'.*'
relation,type=normal|dir=forward,directly precedes,'.'
relation,type=normal|dir=backward,is directly preceded by,'.'
relation,type=normal|dir=backward,follows,'.*'
relation,type=normal|dir=forward,is followed by,'.*'
relation,type=normal|dir=backward,directly follows,'.'
relation,type=normal|dir=forward,is directly followed by,'.'
relation,type=normal|dir=forward|domain=node,contains,'>*'
relation,type=normal|dir=forward|domain=node,directly contains,'>'
relation,type=normal|dir=backward|range=node,is contained in,'>*'
relation,type=normal|dir=backward|range=node,is directly contained in,'>'
relation,type=normal|dir=forward,is identical to,'_=_'
relation,type=normal|dir=forward|domain=node,includes,'_i_'
relation,type=normal|dir=backward|range=node,is included in,'_i_'
relation,type=normal|dir=forward|domain=node|range=node,overlaps with,'_o_'
relation,type=normal|dir=forward|domain=node|range=node,overlaps on the right with,'_or_'
relation,type=normal|dir=forward|domain=node|range=node,overlaps on the left with,'_ol_'
relation,type=normal|dir=forward|domain=node,is left-aligned with,'_l_'
relation,type=normal|dir=forward|range=node,is left-aligned with,'_l_'
relation,type=normal|dir=forward|domain=node,is right-aligned with,'_r_'
relation,type=normal|dir=forward|range=node,is right-aligned with,'_r_'
relation,type=normal|dir=forward,shares a parent with,'$'
relation,type=normal|dir=forward,shares an ancestor with,'$*'
relation,type=hasrole|dir=forward|domain=node,contains,'>'
relation,type=hasrole|dir=forward|domain=node,directly contains,'>'
relation,type=hasrole|dir=backward|range=node,is contained in,'>'
relation,type=hasrole|dir=backward|range=node,is directly contained in,'>'
relation,type=hasdist|dir=forward,precedes,'.'
relation,type=hasdist|dir=forward,directly precedes,'.'
relation,type=hasdist|dir=backward,follows,'.'
relation,type=hasdist|dir=backward,directly follows,'.'
relation,type=hasdepth|dir=forward|domain=node,contains,'>'
relation,type=hasdepth|dir=backward|range=node,is contained in,'>'
relation,type=hasprop|dir=forward|domain=node,contains,'>'
relation,type=hasprop|dir=forward|domain=node,directly contains,'>'
relation,type=hasprop|dir=backward|range=node,is contained in,'>'
relation,type=hasprop|dir=backward|range=node,is directly contained in,'>'

role,,the left-most child,'@l'
role,,the right-most child,'@r'

element,type=node,sentence,'CAT="S"'
element,type=node,noun phrase,'CAT="NP"'
element,type=node,verb phrase,'CAT="VP"'
element,type=node,prepositional phrase,'CAT="PP"'

element,type=leaf,determiner,'POS="DET"'
element,type=leaf,verb,'POS="V"'
element,type=leaf,noun,'POS="N"'
element,type=leaf,preposition,'POS="PREP"'

property,domain=node,category,'CAT'
property,domain=leaf,part of speech,'POS'
property,domain=leaf,lemma,'LEMMA'
